ensgene	SRR13593674	SRR13593675	SRR13593676	SRR13593677	Sum Controls	Sum Treatment	Mean Controls	Mean Treatment	STD Controls	STD Treatment	RPM_controls	RPM_cpt-cef	L2F	p-value	adjusted-p-value
ENSG00000167526	10.98630367	10.99080491	10.34864302	10.35670012	21.97710858	20.70534314	10.98855429	10.35267157	0.003182857327747951	0.0056972300466970605	157.47152521962394	148.5185775819452	-0.08444757379959145	5.594361790607655e-77	6.78875803290239e-73
ENSG00000138760	9.402267059	9.393561955	10.03882711	10.03551551	18.795829014	20.07434262	9.397914507	10.03717131	0.006155438069334545	0.0023416548165773494	134.676854865948	143.99243671819772	0.09649110016692207	5.966572226338117e-70	7.240435396661305e-66
ENSG00000197958	10.02149198	10.03062479	9.253246275	9.267965273	20.052116769999998	18.521211548	10.026058384999999	9.260605774	0.006457871882287443	0.010407903298070748	143.67847345157446	132.85189120527937	-0.11302516161836294	2.3970729415241543e-62	2.9088480145395614e-58
ENSG00000005022	9.707237869	9.719152467	9.080803664	9.090676018	19.426390336	18.171479681999998	9.713195168	9.085739840999999	0.008424893040912106	0.00698080845967451	139.1949857546585	130.34327886680256	-0.09479104924603343	3.265422700788882e-59	3.962590447407308e-55
ENSG00000132182	8.428364986	8.421435425	8.003783726	8.009285566	16.849800411	16.013069292	8.4249002055	8.006534646	0.004899939573745658	0.0038903883730040086	120.73306917094082	114.8610896177095	-0.07193073609524185	1.2284324186206322e-53	1.4907027399961371e-49
ENSG00000115241	8.321389947	8.31634384	7.630313787	7.616666834	16.637733787000002	15.246980621	8.318866893500001	7.6234903105	0.0035681364782929603	0.009649853008834306	119.21355833047262	109.36596698442371	-0.12438446158015759	2.1353141532466573e-52	2.5912037249648186e-48
ENSG00000142541	12.36342441	12.30970681	11.65228084	11.66917404	24.673131220000002	23.321454879999997	12.336565610000001	11.660727439999999	0.0379840792290669	0.0119452962759407	176.78920732516679	167.28383985232105	-0.0797321201781697	1.523601139878857e-51	1.848889983242993e-47
ENSG00000116005	8.081501767	8.062417402	8.752360246	8.75173698	16.143919169	17.504097226	8.0719595845	8.752048613	0.013494683906140064	0.0004407156150829049	115.67525206105861	125.5561718675092	0.11825270519783089	2.116532546307387e-51	2.568412244944014e-47
ENSG00000197894	7.850851587	7.85164017	7.731742573	7.734012875	15.702491757	15.465755448	7.8512458785	7.732877724	0.0005576123868280061	0.001605345939541618	112.51231333377537	110.93522985039405	-0.020365301579194816	2.1799397339186378e-51	2.645356867110267e-47
ENSG00000063177	10.73489281	10.69286629	10.03725575	10.0453373	21.4277591	20.08259305	10.71387955	10.041296525	0.02971723728167227	0.005714518807498138	153.53529765905523	144.05161671438296	-0.0919845161358868	4.4903253959384145e-49	5.449009867971266e-45
ENSG00000140988	11.48814575	11.4135881	10.52583108	10.52074031	22.90173385	21.04657139	11.450866925	10.523285695	0.05272021990433259	0.003599717988460271	164.09669845355927	150.96619383143744	-0.12032069274908988	1.3426545306986037e-47	1.6293112730027557e-43
ENSG00000255112	7.766044592	7.76792511	8.099454614	8.089599423	15.533969702	16.189054037	7.766984851	8.0945270185	0.001329727029943441	0.0069686723859897215	111.30481031137388	116.1234209795611	0.061143035650317916	7.476619434414052e-47	9.072877683661452e-43
ENSG00000082781	9.371127803	9.399569426	8.604060869	8.629426525	18.770697229	17.233487394	9.3853486145	8.616743697	0.020111264491250627	0.017936227366845206	134.49677928862462	123.61509863551403	-0.12171665773680349	2.4067713708274467e-46	2.9206170584991064e-42
ENSG00000175348	6.56982512	6.567448676	6.974823453	6.968296811	13.137273795999999	13.943120264000001	6.568636897999999	6.9715601320000005	0.001680399667510264	0.004615032816576832	94.13187973992886	100.0134300920007	0.08743843243523787	4.859697124394954e-46	5.897242460453276e-42
ENSG00000150403	7.59729325	7.58563969	8.200190742	8.184292657	15.18293294	16.384483399	7.59146647	8.1922416995	0.008240311300964347	0.01124164371138006	108.78954338628787	117.52522778207262	0.11143058215020663	8.830826025859868e-46	1.0716207382380949e-41
ENSG00000134001	7.308811536	7.310998475	6.811776325	6.800638267	14.619810011	13.612414592	7.3099050055	6.806207296	0.0015463993969410121	0.007875796341049237	104.75462559021025	97.64129186315698	-0.10145066136171152	2.291364600618173e-45	2.7805709428501534e-41
ENSG00000150093	10.36164437	10.39206007	10.84669533	10.87533492	20.75370444	21.72203025	10.37685222	10.861015125	0.021507147724534922	0.020251248299403096	148.7055260353126	155.8112325455518	0.06734098181513168	3.426072151013074e-45	4.157538555254365e-41
ENSG00000189043	7.326503886	7.326746725	7.030062734	7.022688109	14.653250611	14.052750843	7.3266253055	7.0263754215	0.00017171310363608524	0.005214647346208291	104.99423592234702	100.79980574114946	-0.05881726904786262	4.4681254457634734e-45	5.422070228433975e-41
ENSG00000129083	8.968528799	8.966610142	9.444340241	9.417657192	17.935138940999998	18.861997433	8.967569470499999	9.4309987165	0.001356695375470442	0.018867764890633444	128.50979344186055	135.2963343887602	0.07424444446458997	6.063487620556574e-45	7.358042227545403e-41
ENSG00000161960	10.13007366	10.10023763	9.684169936	9.673350651	20.230311290000003	19.357520587	10.115155645000002	9.6787602935	0.021097259136685434	0.007650389791090022	144.95528212492812	138.85070165972922	-0.0620734381081419	1.021589519129422e-44	1.2396988814635538e-40
ENSG00000166734	8.492873179	8.540302987	9.366405421	9.378659251	17.033176166	18.745064671999998	8.516588083	9.372532335999999	0.03353793886717625	0.008664766288507559	122.04700269968666	134.45758048745924	0.13971422915068216	2.5746942538163643e-44	3.124391477006158e-40
ENSG00000198918	9.805153993	9.776723658	9.357083741	9.345825046	19.581877651	18.702908787	9.7909388255	9.3514543935	0.02010328266990487	0.00796109958181138	140.30909157782563	134.15519805242425	-0.06470553883347205	6.338381641945507e-44	7.691626122500873e-40
ENSG00000169714	9.453203387	9.451193293	9.110554437	9.13265709	18.904396679999998	18.243211527	9.452198339999999	9.1216057635	0.001421351098223072	0.015628935818513913	135.45476957171203	130.8578084505286	-0.049811179567836567	2.0049620887561176e-43	2.4330214947055486e-39
ENSG00000170144	9.791100403	9.751089189	9.189000135	9.202055823	19.542189592	18.391055958000003	9.771094796	9.195527979000001	0.02829220074290594	0.009231765517855607	140.02471662645354	131.9182904935967	-0.08603690027669571	1.1154658980793936e-42	1.353617867319344e-38
