,sample1,sample2,sample3,sample4
ENSG00000000003,6.48704602,6.592989142,6.527473068,6.65835284
ENSG00000000419,6.771244368,6.997864335,6.911477824,7.064510264
ENSG00000000457,5.468486321,5.383951251,5.304702736,5.384667319
ENSG00000000460,5.212546365,5.314332741,5.009005302,5.441831444
ENSG00000000971,7.555522385,7.631937332,7.080424214,7.051919628
ENSG00000001036,7.267180581,7.241345478,7.40360018,7.304878131
ENSG00000001084,7.176041305,7.293328851,7.728184808,7.49815404
ENSG00000001167,6.185860064,6.26899475,6.218584039,6.159083549
ENSG00000001460,4.304198448,4.391239423,4.505415336,4.249642941
ENSG00000001461,7.242411456,7.206061802,7.403723179,7.339283109
ENSG00000001497,6.663982955,6.857487471,6.342698218,6.424746498
ENSG00000001561,5.727788572,5.665017994,6.286360156,6.408799002
ENSG00000001617,6.551881684,5.950502663,6.162079201,6.109157164
ENSG00000001626,7.980385666,8.324213256,7.979476527,7.802191879
ENSG00000001629,7.94784682,8.207337125,9.058148022,8.403320183
ENSG00000001630,8.334200799,8.206182937,8.076132296,8.265407446
ENSG00000001631,6.352795266,6.50416441,6.422222843,6.24585633
ENSG00000002016,3.199431585,3.218540251,3.208489673,3.289996809
ENSG00000002330,5.406339985,5.354214435,5.244040654,5.290787978
ENSG00000002549,7.512200541,7.63848001,7.257187889,7.627072646
ENSG00000002586,2.214621359,2.176759288,2.257348062,2.227207264
ENSG00000002587,6.326204404,6.656026122,5.792642619,5.663370139
ENSG00000002726,4.60615677,4.58495763,4.770750817,4.7385595
ENSG00000002822,5.633899947,5.327908252,5.17028362,5.347892717
ENSG00000002834,10.52642689,10.45452679,10.10657187,9.991337109
ENSG00000002919,5.576590006,5.516176443,5.197524074,5.629721783
ENSG00000003056,7.913047411,7.830866695,7.618793611,7.850022858
ENSG00000003147,6.26304175,6.677384419,6.501352602,6.298292761
ENSG00000003249,4.576450175,4.611491944,4.485012323,4.465619435
ENSG00000003393,6.064956309,6.354616326,6.560453236,6.46138574
ENSG00000003400,4.760238875,4.747428638,4.974091699,5.208107541
ENSG00000003402,7.455271027,7.237744341,7.260307255,7.258581467
ENSG00000003436,8.202562393,8.221573761,8.318743888,8.083056187
ENSG00000003509,4.815791733,4.807902118,4.835645418,4.738437983
ENSG00000003756,6.570990435,6.609909245,7.189359286,7.155652493
ENSG00000003989,6.528403352,6.368598343,6.578161093,6.425723155
